Final Reward, Lenght
-221.32988051510273, 239.3
-296.435505713864, 525.6
-169.54873841544327, 263.4
-50.18440312654094, 149.8
-107.96852652178299, 208.8
-99.45049018586003, 152.0
-212.00682288007715, 246.4
-190.25020695623851, 360.5
-336.10102018215645, 469.5
-99.56375346919165, 159.2
-223.8498387423886, 246.5
-226.906324446192, 230.5
-77.81813130278867, 241.8
-50.73012329586728, 166.2
-62.149355815231765, 135.7
-238.62832756238703, 252.2
-213.58680948273985, 269.2
-114.14255094473235, 265.7
-433.65669475512993, 331.2
-10.874010270730395, 90.4
-200.0809122932763, 356.6
-125.39082966202636, 185.4
-149.76413114072142, 236.4
-251.7017609067194, 431.1
-198.88932188699846, 212.1
-87.86890551403594, 139.7
-260.58464037525493, 266.6
-177.40474375219748, 136.7
-142.61092370946017, 280.0
-27.874301319446733, 82.1
-107.58432765087855, 156.1
-346.8954082251401, 346.0
-371.6678471335582, 547.6
-256.6645889006482, 344.3
-119.05979044231076, 229.1
-306.370554292408, 439.2
-340.1662602337973, 341.4
-162.73324577077938, 239.4
-12.843785063162064, 40.5
-184.1932041623116, 252.4
-192.17333266464328, 168.5
-50.075539688375706, 82.4
-64.41634234644665, 242.2
-309.75771832863666, 349.7
-267.5825376670873, 434.7
-239.84426299514598, 277.1
-232.3160524841334, 309.4
-176.0334682095525, 245.3
-118.53408739666145, 144.4
-33.51265433104718, 68.7
-31.74905936497684, 238.9
-451.3460580001729, 418.5
-61.684254677184775, 188.0
-154.79327935748734, 249.5
-132.11451712771094, 156.9
-193.1032139314897, 241.4
-83.41755281476631, 127.2
-251.45661092526015, 570.9
-50.79972103925671, 63.9
-101.57009792997901, 126.7
-15.868022487536646, 48.9
-172.0697767299438, 229.6
-196.4655461320866, 245.8
-3.043748374921054, 59.3
-154.0237979492136, 164.6
-301.7261248773434, 326.7
-216.59790937164135, 262.2
-108.97720871837552, 150.2
-106.30364939572515, 159.5
-122.74660020265, 276.7
-239.35632340307262, 436.7
-333.1575086815839, 425.6
-101.29281574613074, 131.5
-325.5361237507779, 340.2
-69.72830423369298, 135.6
-22.733958759307235, 52.4
-125.5887681512468, 222.2
-156.8523260995961, 237.5
-35.29522969101405, 257.1
-43.144807625996535, 81.8
-89.10529050796589, 246.3
-386.5936300635261, 455.6
-177.79254816159542, 228.2
-86.95763178337228, 141.2
-189.87317286000697, 257.8
-198.82659460182427, 337.5
-105.66653636339746, 158.4
-253.41840338422554, 357.0
-223.1819060559189, 249.0
-46.8052174344857, 85.8
-353.55043212131307, 439.9
-354.8951293707047, 353.2
-115.69580653970866, 139.7
-285.3249957297281, 347.0
-284.16590880653337, 353.9
-168.59444673914223, 197.0
-163.38728004805722, 239.0
-123.28209048548604, 128.1
-328.1212704986402, 417.2
-392.74450503982905, 455.9
-51.98501015611625, 94.8
-191.03903580293394, 262.5
-608.1312985482806, 611.4
